No,x1,x2,x3,y
1,11,31,0,14
2,11,30,0,14
3,6,25,0,11
4,8,36,0,13
5,66,22,0,55
6,27,29,0,22
7,12,31,0,12
8,52,42,0,95
9,23,37,0,22
10,10,28,0,33
11,52,36,0,66
12,33,24,0,30
13,18,23,0,16
14,42,36,0,42
15,87,26,0,59
16,50,26,0,16
17,18,28,0,6
18,111,31,0,123
19,18,32,0,15
20,20,21,0,16
21,12,29,0,14
22,9,21,0,14
23,17,32,0,13
24,28,25,0,30
25,55,30,0,143
26,9,40,0,6
27,10,19,0,10
28,47,22,0,53
29,76,18,1,42
30,38,32,1,28
31,19,20,1,7
32,10,30,1,13
33,19,18,1,19
34,24,24,1,11
35,31,30,1,74
36,14,35,1,20
37,11,27,1,10
38,67,20,1,24
39,41,22,1,29
40,7,28,1,4
41,22,23,1,6
42,13,40,1,12
43,46,33,1,65
44,36,21,1,26
45,38,35,1,39
46,7,25,1,7
47,36,26,1,32
48,11,25,1,3
49,151,22,1,302
50,22,32,1,13
51,41,25,1,26
52,32,35,1,10
53,56,21,1,70
54,24,41,1,13
55,16,32,1,15
56,22,26,1,51
57,25,21,1,6
58,13,36,1,0
59,12,37,1,10
